,xk,wk,uk,xkp1,wkp1,fL_k,fU_k,gL_k,gU_k,fBL_k,fBU_k
168,[1.95169425],[-3.27292456],[17.49558167],[1.88623576],[-2.74079184],[-3.80114608],[-1.7199533],[0.01632653],[0.048],[-5.28914608],[-2.31314608]
169,[-4.48068169],[-1.63247656],[16.60717233],[-4.51333122],[-1.38409945],[-1.89071744],[-0.87324838],[0.01632653],[0.048],[-3.37871744],[-0.40271744]
170,[0.6383437],[-0.88216474],[-5.02455162],[0.62070041],[-1.07562459],[-1.01172948],[-0.50124441],[0.01632653],[0.048],[-2.49972948],[0.47627052]
171,[0.70009601],[1.64006868],[-17.98989419],[0.73289738],[1.06098362],[1.43640945],[2.2388268],[0.01632653],[0.048],[-0.05159055],[2.92440945]
172,[4.3607502],[-4.86042068],[-20.84953799],[4.26354178],[-4.36420635],[-5.51934371],[-2.92318698],[0.01632653],[0.048],[-7.00734371],[-4.03134371]
173,[-2.02382063],[-3.47733639],[-27.51155861],[-2.09336736],[-3.49452365],[-3.74519743],[-2.68982495],[0.01632653],[0.048],[-5.23319743],[-2.25719743]
174,[-3.24526608],[0.79127219],[15.05341097],[-3.22944064],[1.06270366],[0.74992648],[0.91282859],[0.01632653],[0.048],[-0.73807352],[2.23792648]
175,[4.89696363],[0.0653038],[-0.53017588],[4.89826971],[0.23903238],[0.22849763],[-0.41448605],[0.01632653],[0.048],[-1.25950237],[1.71649763]
176,[-3.40205173],[-3.00297321],[-8.89973824],[-3.4621112],[-2.94670153],[-3.35971923],[-1.95413992],[0.01632653],[0.048],[-4.84771923],[-1.87171923]
177,[4.76064697],[-1.25848216],[15.43638845],[4.73547732],[-0.69953702],[-1.14710185],[-1.58594026],[0.01632653],[0.048],[-2.63510185],[0.34089815]
178,[0.91493271],[0.68527825],[-14.56297153],[0.92863827],[0.22007449],[0.5332186],[1.13233361],[0.01632653],[0.048],[-0.9547814],[2.0212186]
179,[1.62940885],[3.26386152],[3.64284791],[1.69468608],[2.81263292],[2.72589554],[4.84548149],[0.01632653],[0.048],[1.23789554],[4.21389554]
180,[2.67525106],[3.57769114],[-26.88416939],[2.74680489],[2.52386984],[3.0581265],[5.10521118],[0.01632653],[0.048],[1.5701265],[4.5461265]
181,[1.50306408],[4.52829084],[-23.69942227],[1.5936299],[3.19456684],[3.65059074],[7.10872915],[0.01632653],[0.048],[2.16259074],[5.13859074]
182,[3.96154141],[3.76599066],[-14.99160362],[4.03686122],[3.13757708],[3.39770114],[4.84876183],[0.01632653],[0.048],[1.90970114],[4.88570114]
183,[2.64546375],[1.67854122],[17.41819518],[2.67903458],[1.85969284],[1.49883358],[2.2068817],[0.01632653],[0.048],[0.01083358],[2.98683358]
184,[-2.94379749],[2.12702614],[-7.44745756],[-2.90125697],[1.86240233],[2.00178198],[2.49524398],[0.01632653],[0.048],[0.51378198],[3.48978198]
185,[4.81049823],[-1.96925369],[24.1733315],[4.77111315],[-1.15621302],[-1.9376172],[-2.06226496],[0.01632653],[0.048],[-3.4256172],[-0.4496172]
186,[0.47876864],[-0.88388782],[12.6918235],[0.46109089],[-0.68349927],[-0.99077784],[-0.56963115],[0.01632653],[0.048],[-2.47877784],[0.49722216]
187,[-2.74584677],[-0.60636707],[-20.53601066],[-2.75797411],[-0.94735591],[-0.55639829],[-0.75327527],[0.01632653],[0.048],[-2.04439829],[0.93160171]
188,[-2.08493166],[0.50045839],[15.20924613],[-2.07492249],[0.97111114],[0.63623713],[0.10126889],[0.01632653],[0.048],[-0.85176287],[2.12423713]
189,[-0.59210015],[4.75728545],[-0.73380506],[-0.49695444],[4.1273416],[4.06842114],[6.78254652],[0.01632653],[0.048],[2.58042114],[5.55642114]
190,[-0.2652775],[-0.45159909],[6.31462998],[-0.27430949],[-0.26683406],[-0.4167638],[-0.55401484],[0.01632653],[0.048],[-1.9047638],[1.0712362]
191,[-2.79662384],[-4.10254261],[-22.41988021],[-2.87867469],[-3.96680027],[-4.6283879],[-2.55655746],[0.01632653],[0.048],[-6.1163879],[-3.1403879]
192,[-2.53322051],[3.71378411],[-22.47622963],[-2.45894483],[2.91182595],[3.33207202],[4.83601767],[0.01632653],[0.048],[1.84407202],[4.82007202]
193,[3.0254277],[-2.2558954],[1.6254344],[2.98030979],[-2.0792393],[-2.453267],[-1.67562289],[0.01632653],[0.048],[-3.941267],[-0.965267]
194,[3.62697638],[-1.51841985],[-5.68967254],[3.59660799],[-1.47364348],[-1.52163434],[-1.50896928],[0.01632653],[0.048],[-3.00963434],[-0.03363434]
195,[-3.24751091],[3.51815996],[-13.33462949],[-3.17714771],[2.82398943],[3.07111761],[4.83246449],[0.01632653],[0.048],[1.58311761],[4.55911761]
196,[3.54811361],[-0.00695453],[-26.48335037],[3.54797452],[-0.48139689],[0.05736603],[-0.19605698],[0.01632653],[0.048],[-1.43063397],[1.54536603]
197,[2.53642212],[-2.80289938],[-23.13827698],[2.48036413],[-3.13865729],[-3.17205172],[-1.71759152],[0.01632653],[0.048],[-4.66005172],[-1.68405172]
198,[1.64866276],[1.26640746],[2.14576418],[1.6739909],[1.07266866],[1.04077579],[1.92976455],[0.01632653],[0.048],[-0.44722421],[2.52877579]
199,[-0.25445267],[-4.25237462],[-8.46404197],[-0.33950016],[-3.80716508],[-4.83596578],[-2.5366166],[0.01632653],[0.048],[-6.32396578],[-3.34796578]
200,[-3.90501255],[-2.6477708],[22.90061092],[-3.95796797],[-2.07586926],[-3.00840073],[-1.58751883],[0.01632653],[0.048],[-4.49640073],[-1.52040073]
201,[-4.17532487],[2.00262517],[-13.83857899],[-4.13527236],[1.42443132],[1.71719608],[2.84178671],[0.01632653],[0.048],[0.22919608],[3.20519608]
202,[-3.21528868],[1.22258087],[-13.82160181],[-3.19083707],[0.87118006],[1.15630774],[1.41742385],[0.01632653],[0.048],[-0.33169226],[2.64430774]
203,[-4.11506071],[-1.1093889],[20.98181962],[-4.13724849],[-0.78744076],[-1.29348462],[-0.56814747],[0.01632653],[0.048],[-2.78148462],[0.19451538]
204,[0.04562109],[0.76462271],[-21.03502166],[0.06091354],[0.30218549],[0.73446118],[0.85329762],[0.01632653],[0.048],[-0.75353882],[2.22246118]
205,[-1.70058491],[-1.77759757],[-25.03798023],[-1.73613686],[-2.01141632],[-1.72179951],[-1.94164386],[0.01632653],[0.048],[-3.20979951],[-0.23379951]
206,[-3.23774326],[4.17489612],[-11.02172719],[-3.15424534],[3.36962465],[3.55523003],[5.99671442],[0.01632653],[0.048],[2.06723003],[5.04323003]
207,[3.43653216],[1.38914244],[20.5614199],[3.46431501],[1.80766903],[1.36925677],[1.44760633],[0.01632653],[0.048],[-0.11874323],[2.85725677]
208,[0.23167131],[-1.41070517],[2.5583867],[0.20345721],[-1.3394545],[-1.52034888],[-1.08835267],[0.01632653],[0.048],[-3.00834888],[-0.03234888]
209,[-1.71180847],[-4.32167511],[-19.32673069],[-1.79824197],[-3.94232595],[-4.80133663],[-2.91147023],[0.01632653],[0.048],[-6.28933663],[-3.31333663]
210,[3.18401806],[-0.08351865],[2.43054709],[3.18234768],[-0.02238231],[-0.07892316],[-0.09702942],[0.01632653],[0.048],[-1.56692316],[1.40907684]
211,[-3.55675005],[2.58386786],[7.78104826],[-3.50507269],[2.45507302],[2.28331163],[3.46750319],[0.01632653],[0.048],[0.79531163],[3.77131163]
212,[-0.01811458],[-2.95831301],[-5.02994649],[-0.07728084],[-2.78299487],[-3.2594274],[-2.07303671],[0.01632653],[0.048],[-4.7474274],[-1.7714274]
213,[-3.40939419],[2.47809256],[-16.32502544],[-3.35983234],[1.89075194],[2.21938072],[3.23870537],[0.01632653],[0.048],[0.73138072],[3.70738072]
214,[-2.28682842],[0.4152317],[12.37025918],[-2.27852379],[0.80709032],[0.53410363],[0.06574823],[0.01632653],[0.048],[-0.95389637],[2.02210363]
215,[2.5957725],[4.08554263],[10.50177476],[2.67748335],[3.67253401],[3.42003341],[6.04213971],[0.01632653],[0.048],[1.93203341],[4.90803341]
216,[2.52088638],[-3.63376666],[-14.10989051],[2.44821104],[-3.6136281],[-4.18952108],[-1.99984868],[0.01632653],[0.048],[-5.67752108],[-2.70152108]
217,[3.37474869],[1.30947558],[-11.86345111],[3.4009382],[1.04902986],[1.28695628],[1.37568233],[0.01632653],[0.048],[-0.20104372],[2.77495628]
218,[1.99467886],[3.84745131],[29.46087959],[2.07162789],[3.81652242],[3.18096713],[5.80691478],[0.01632653],[0.048],[1.69296713],[4.66896713]
219,[1.50615763],[-2.58193297],[21.68688062],[1.45451897],[-2.10565485],[-2.98233928],[-1.4047384],[0.01632653],[0.048],[-4.47033928],[-1.49433928]
220,[-2.58834983],[3.28415509],[12.53720089],[-2.52266673],[3.29776152],[2.99837639],[4.12434449],[0.01632653],[0.048],[1.51037639],[4.48637639]
221,[-2.47203461],[0.27627071],[-3.12077411],[-2.4665092],[0.32349496],[0.37591371],[-0.0166797],[0.01632653],[0.048],[-1.11208629],[1.86391371]
222,[4.51376211],[2.28405328],[-20.06369311],[4.55944318],[1.88382386],[2.26700495],[2.33417537],[0.01632653],[0.048],[0.77900495],[3.75500495]
223,[-4.88250203],[3.24366265],[-0.15002042],[-4.81762878],[2.72064449],[2.71237341],[4.80565303],[0.01632653],[0.048],[1.22437341],[4.20037341]
224,[3.82680946],[-0.31491514],[20.73847357],[3.82051116],[0.24030744],[-0.21400403],[-0.6115938],[0.01632653],[0.048],[-1.70200403],[1.27399597]
225,[4.57823049],[-2.17486756],[-26.90761159],[4.53473314],[-2.39763156],[-2.1733247],[-2.17940357],[0.01632653],[0.048],[-3.6613247],[-0.6853247]
226,[-3.8599604],[-3.55527626],[5.23518861],[-3.93106592],[-3.16515924],[-4.1044674],[-1.94065431],[0.01632653],[0.048],[-5.5924674],[-2.6164674]
227,[-3.70098677],[3.95566787],[0.89037518],[-3.62187341],[3.37383249],[3.32423286],[5.8120868],[0.01632653],[0.048],[1.83623286],[4.81223286]
228,[-2.12319801],[0.98935172],[-13.64219232],[-2.10341097],[0.8328075],[1.09673049],[0.67365816],[0.01632653],[0.048],[-0.39126951],[2.58473049]
229,[4.48244758],[1.63475838],[12.72890561],[4.51514275],[1.99655835],[1.70435017],[1.4301585],[0.01632653],[0.048],[0.21635017],[3.19235017]
230,[0.58899424],[4.49570451],[-0.29354656],[0.67890833],[3.74310932],[3.70266091],[6.82725269],[0.01632653],[0.048],[2.21466091],[5.19066091]
231,[0.09694227],[4.73369748],[-16.7495475],[0.19161622],[3.65519224],[3.94219564],[7.06071287],[0.01632653],[0.048],[2.45419564],[5.43019564]
232,[4.76828362],[2.12416052],[7.74146747],[4.81076683],[2.32888356],[2.13447326],[2.09384106],[0.01632653],[0.048],[0.64647326],[3.62247326]
233,[-3.06563287],[-2.28002423],[5.22213792],[-3.11123335],[-1.98905296],[-2.44885133],[-1.78367255],[0.01632653],[0.048],[-3.93685133],[-0.96085133]
234,[3.20213371],[4.12885429],[-10.48098618],[3.28471079],[3.37638006],[3.54874855],[5.83436514],[0.01632653],[0.048],[2.06074855],[5.03674855]
235,[-3.21621255],[-2.38228741],[27.15071799],[-3.2638583],[-1.64812468],[-2.59291029],[-1.76305615],[0.01632653],[0.048],[-4.08091029],[-1.10491029]
236,[-0.25322045],[3.82075612],[17.58451042],[-0.17680533],[3.77060817],[3.35714978],[5.18375876],[0.01632653],[0.048],[1.86914978],[4.84514978]
237,[3.76181478],[0.72161061],[16.95671876],[3.77624699],[1.16491199],[0.79928231],[0.49325584],[0.01632653],[0.048],[-0.68871769],[2.28728231]
238,[3.42882895],[-1.29332118],[25.83439775],[3.40296252],[-0.64706976],[-1.30558477],[-1.25726622],[0.01632653],[0.048],[-2.79358477],[0.18241523]
239,[0.59259644],[-3.03576645],[29.74664439],[0.53188111],[-2.22991938],[-3.45006433],[-1.81773068],[0.01632653],[0.048],[-4.93806433],[-1.96206433]
240,[4.95391497],[-4.93405555],[-28.48115132],[4.85523386],[-4.56898728],[-5.61243412],[-2.93962256],[0.01632653],[0.048],[-7.10043412],[-4.12443412]
241,[4.2207806],[-4.87630727],[-21.12895829],[4.12325445],[-4.39141043],[-5.55021042],[-2.89503201],[0.01632653],[0.048],[-7.03821042],[-4.06221042]
242,[1.45656295],[-1.25735318],[20.99159491],[1.43141589],[-0.95692529],[-1.48160899],[-0.59804108],[0.01632653],[0.048],[-2.96960899],[0.00639101]
243,[4.20839041],[-4.96080831],[6.06284879],[4.10917424],[-3.88477627],[-5.6643793],[-2.89230957],[0.01632653],[0.048],[-7.1523793],[-4.1763793]
244,[-3.55039313],[-3.22330067],[-24.04694312],[-3.61485914],[-3.46482236],[-3.65095212],[-1.9660054],[0.01632653],[0.048],[-5.13895212],[-2.16295212]
245,[-0.54514085],[-4.84334797],[-29.6342314],[-0.64200781],[-4.61690745],[-5.56737848],[-2.71469828],[0.01632653],[0.048],[-7.05537848],[-4.07937848]
246,[-2.23546562],[-4.07680277],[26.57711086],[-2.31700167],[-2.8449247],[-4.51973133],[-2.7745928],[0.01632653],[0.048],[-6.00773133],[-3.03173133]
247,[1.55626732],[4.73716444],[25.57892319],[1.65101061],[4.36644727],[3.79234416],[7.51493607],[0.01632653],[0.048],[2.30434416],[5.28034416]
248,[4.73028702],[2.80175138],[3.71990116],[4.78632204],[2.81658775],[2.69717643],[3.10920172],[0.01632653],[0.048],[1.20917643],[4.18517643]
249,[-3.75222112],[3.54476785],[-13.11217031],[-3.68132576],[2.76190022],[3.01243578],[5.10982413],[0.01632653],[0.048],[1.52443578],[4.50043578]
250,[1.19655306],[-3.45275538],[29.9754095],[1.12749795],[-2.62465144],[-4.02310716],[-1.77592112],[0.01632653],[0.048],[-5.51110716],[-2.53510716]
251,[-0.98572346],[4.63226158],[26.28723752],[-0.89307823],[4.65295185],[4.03032434],[6.40195709],[0.01632653],[0.048],[2.54232434],[5.51832434]
252,[1.70908539],[3.04901794],[23.80062762],[1.77006575],[3.06168137],[2.55915143],[4.48922547],[0.01632653],[0.048],[1.07115143],[4.04715143]
253,[0.9799336],[-0.32745149],[24.08256645],[0.97338457],[0.01984023],[-0.47340531],[0.10165273],[0.01632653],[0.048],[-1.96140531],[1.01459469]
254,[3.94385427],[-1.16311073],[-25.58838904],[3.92059206],[-1.51579005],[-1.09093274],[-1.37531402],[0.01632653],[0.048],[-2.57893274],[0.39706726]
255,[-3.26951929],[-0.71555432],[6.67908461],[-3.28383037],[-0.5818443],[-0.75702432],[-0.59363252],[0.01632653],[0.048],[-2.24502432],[0.73097568]
256,[-4.09448541],[-1.02907386],[7.26199454],[-4.11506689],[-0.99579562],[-1.20526621],[-0.51106836],[0.01632653],[0.048],[-2.69326621],[0.28273379]
257,[-0.49032143],[-4.70488343],[-7.18782612],[-0.5844191],[-4.06259086],[-5.39133929],[-2.68670319],[0.01632653],[0.048],[-6.87933929],[-3.90333929]
258,[1.86416421],[-2.57270475],[1.88629003],[1.81271011],[-2.50142183],[-2.96462258],[-1.42046631],[0.01632653],[0.048],[-4.45262258],[-1.47662258]
259,[-0.43101629],[-3.59549062],[-26.53408435],[-0.5029261],[-3.65924116],[-3.97328712],[-2.48476891],[0.01632653],[0.048],[-5.46128712],[-2.48528712]
260,[4.96873266],[4.14798819],[4.62914964],[5.05169242],[3.87798182],[3.71523213],[5.42029099],[0.01632653],[0.048],[2.22723213],[5.20323213]
261,[0.61213693],[2.40348285],[-10.9444249],[0.66020658],[1.88578544],[2.10509285],[3.28074946],[0.01632653],[0.048],[0.61709285],[3.59309285]
262,[0.89860177],[1.72688442],[-17.1595236],[0.93313945],[1.12949246],[1.48986027],[2.42373543],[0.01632653],[0.048],[0.00186027],[2.97786027]
263,[-1.69193157],[2.58455718],[28.23149993],[-1.64024042],[3.14496849],[2.51912503],[2.77692772],[0.01632653],[0.048],[1.03112503],[4.00712503]
264,[3.70186158],[0.62966789],[2.9227005],[3.71445494],[0.77552802],[0.70323248],[0.41338802],[0.01632653],[0.048],[-0.78476752],[2.19123248]
265,[-4.6291947],[-2.24685134],[20.31799037],[-4.67413173],[-1.85001748],[-2.59121834],[-1.23441237],[0.01632653],[0.048],[-4.07921834],[-1.10321834]
266,[-2.66779788],[4.56282785],[4.52737845],[-2.57654132],[4.0768917],[3.91931341],[6.45476031],[0.01632653],[0.048],[2.43131341],[5.40731341]
267,[2.71669368],[-0.41997914],[18.01861148],[2.70829409],[-0.11465532],[-0.49784031],[-0.1910673],[0.01632653],[0.048],[-1.98584031],[0.99015969]
268,[-1.66288982],[1.94244025],[15.86897897],[-1.62404102],[2.33895509],[1.97779067],[1.83851002],[0.01632653],[0.048],[0.48979067],[3.46579067]
269,[-2.34051731],[-1.91777411],[23.54389264],[-2.37887279],[-1.17430282],[-1.92592879],[-1.89379934],[0.01632653],[0.048],[-3.41392879],[-0.43792879]
270,[-1.74934849],[-2.71850413],[-16.69623573],[-1.80371857],[-2.6452194],[-2.80988075],[-2.44985688],[0.01632653],[0.048],[-4.29788075],[-1.32188075]
271,[-3.80964742],[1.77819035],[1.61468743],[-3.77408362],[1.59288257],[1.56243087],[2.41252322],[0.01632653],[0.048],[0.07443087],[3.05043087]
272,[-0.23025048],[0.06236644],[7.97796393],[-0.22900315],[0.2733749],[0.0983798],[-0.04351283],[0.01632653],[0.048],[-1.3896202],[1.5863798]
273,[-3.73762321],[4.73899146],[-23.22659926],[-3.64284338],[3.43260215],[3.86747302],[7.30125567],[0.01632653],[0.048],[2.37947302],[5.35547302]
274,[-0.59555831],[0.4949398],[-4.62197634],[-0.58565951],[0.49821298],[0.57871117],[0.24865196],[0.01632653],[0.048],[-0.90928883],[2.06671117]
275,[-4.13825146],[2.25751651],[-12.2655755],[-4.09310113],[1.68103055],[1.93792913],[3.19710343],[0.01632653],[0.048],[0.44992913],[3.42592913]
276,[-1.58628884],[-1.9823448],[-0.5474967],[-1.62593574],[-1.6808191],[-1.95170244],[-2.07243333],[0.01632653],[0.048],[-3.43970244],[-0.46370244]
277,[4.82166612],[2.71392034],[-8.94042493],[4.87594453],[2.47993004],[2.62507651],[2.97512122],[0.01632653],[0.048],[1.13707651],[4.11307651]
278,[1.85831557],[3.25028837],[-23.65556331],[1.92332133],[2.24077941],[2.72200012],[4.80345581],[0.01632653],[0.048],[1.23400012],[4.21000012]
279,[2.21953658],[-3.12122541],[22.83544194],[2.15711207],[-2.48368757],[-3.59383348],[-1.7317577],[0.01632653],[0.048],[-5.08183348],[-2.10583348]
280,[3.82078944],[0.3335487],[23.02554438],[3.82746042],[0.9250588],[0.43325564],[0.0404103],[0.01632653],[0.048],[-1.05474436],[1.92125564]
281,[-1.5130604],[4.59070739],[-10.07932887],[-1.42124625],[3.89672578],[4.02973697],[6.23996043],[0.01632653],[0.048],[2.54173697],[5.51773697]
282,[2.73981999],[2.33177327],[3.62565663],[2.78645545],[2.15831763],[2.07602899],[3.08366147],[0.01632653],[0.048],[0.58802899],[3.56402899]
283,[-2.35523984],[2.85597839],[-19.35840868],[-2.29812027],[2.32435886],[2.69160541],[3.33923495],[0.01632653],[0.048],[1.20360541],[4.17960541]
284,[-2.80548601],[-2.54669623],[20.84239434],[-2.85641993],[-1.84219802],[-2.71712863],[-2.04562496],[0.01632653],[0.048],[-4.20512863],[-1.22912863]
285,[-2.56598661],[2.55836603],[21.64978897],[-2.51481929],[2.90029663],[2.42203003],[2.95919386],[0.01632653],[0.048],[0.93403003],[3.91003003]
286,[4.35199717],[0.90591124],[5.58014186],[4.37011539],[1.17059265],[1.03298264],[0.53232133],[0.01632653],[0.048],[-0.45501736],[2.52098264]
287,[1.27401698],[4.19733979],[19.94196145],[1.35796377],[3.87192845],[3.42622303],[6.46442305],[0.01632653],[0.048],[1.93822303],[4.91422303]
288,[-4.6988493],[-3.78580109],[-1.39922613],[-4.77456532],[-3.54566535],[-4.45095214],[-1.83025702],[0.01632653],[0.048],[-5.93895214],[-2.96295214]
289,[-4.9261909],[-0.93133424],[-0.46623066],[-4.94481758],[-1.09726447],[-1.12824002],[-0.35243124],[0.01632653],[0.048],[-2.61624002],[0.35975998]
290,[-0.2960777],[-0.65752156],[-2.07565927],[-0.30922813],[-0.63446237],[-0.6255769],[-0.75143886],[0.01632653],[0.048],[-2.1135769],[0.8624231]
291,[-0.77311066],[-1.77777209],[18.37513196],[-0.8086661],[-1.16540649],[-1.77140791],[-1.79648279],[0.01632653],[0.048],[-3.25940791],[-0.28340791]
292,[-1.04639703],[2.70954324],[28.73600805],[-0.99220617],[3.23700565],[2.59987922],[3.03195545],[0.01632653],[0.048],[1.11187922],[4.08787922]
293,[3.01710289],[-4.93838481],[9.80955721],[2.91833519],[-3.97787158],[-5.80278472],[-2.39704907],[0.01632653],[0.048],[-7.29078472],[-4.31478472]
294,[3.81714044],[4.24007454],[-12.34278055],[3.90194193],[3.52570233],[3.72304475],[5.76014211],[0.01632653],[0.048],[2.23504475],[5.21104475]
295,[-2.3321858],[3.18259301],[-20.56742235],[-2.26853394],[2.5660135],[2.95290558],[3.85787405],[0.01632653],[0.048],[1.46490558],[4.44090558]
296,[2.28836711],[-3.00995711],[-24.57665064],[2.22816797],[-3.37229054],[-3.45171461],[-1.71119007],[0.01632653],[0.048],[-4.93971461],[-1.96371461]
297,[-1.2586155],[2.06238029],[28.34880767],[-1.21736789],[2.69590585],[2.07373228],[2.02900542],[0.01632653],[0.048],[0.58573228],[3.56173228]
298,[-0.31574003],[-4.30549371],[12.38711079],[-0.40184991],[-3.40091225],[-4.89485484],[-2.57277199],[0.01632653],[0.048],[-6.38285484],[-3.40685484]
299,[2.04177139],[-3.66227663],[-4.94145993],[1.96852585],[-3.50369782],[-4.27736355],[-1.85392109],[0.01632653],[0.048],[-5.76536355],[-2.78936355]
300,[-2.86131142],[3.3342562],[9.41717639],[-2.7946263],[3.22542807],[2.99511024],[4.33134534],[0.01632653],[0.048],[1.50711024],[4.48311024]
301,[0.2458166],[-3.74948403],[25.07929519],[0.17082692],[-2.82757506],[-4.27770503],[-2.19651431],[0.01632653],[0.048],[-5.76570503],[-2.78970503]
302,[-2.81379149],[-1.20036964],[2.90265513],[-2.83779889],[-1.03137489],[-1.19812375],[-1.20697256],[0.01632653],[0.048],[-2.68612375],[0.28987625]
303,[3.57110206],[0.49931721],[-5.91350709],[3.58108841],[0.44430628],[0.55858037],[0.32508354],[0.01632653],[0.048],[-0.92941963],[2.04658037]
304,[-2.8848316],[2.91257008],[-13.79187167],[-2.8265802],[2.40057432],[2.66046007],[3.65377352],[0.01632653],[0.048],[1.17246007],[4.14846007]
305,[-0.40372654],[-1.00532254],[-26.10667238],[-0.42383299],[-1.44473758],[-0.97629266],[-1.09067038],[0.01632653],[0.048],[-2.46429266],[0.51170734]
306,[-0.06772713],[-2.67639023],[-1.10805214],[-0.12125493],[-2.46080726],[-2.91436135],[-1.97675513],[0.01632653],[0.048],[-4.40236135],[-1.42636135]
307,[2.39178359],[-0.47365508],[-29.97851199],[2.38231049],[-1.21633399],[-0.59854658],[-0.10647407],[0.01632653],[0.048],[-2.08654658],[0.88945342]
308,[2.65215567],[-2.20562022],[10.17295787],[2.60804326],[-1.92501573],[-2.45494728],[-1.47259868],[0.01632653],[0.048],[-3.94294728],[-0.96694728]
